Start(s),Pitch(Hz),Probability[0-1.0],Source
13.69977,325.34229,0.99246,TARSOS_YIN
13.72299,316.76324,0.99088,TARSOS_YIN
13.74621,303.35568,0.96894,TARSOS_YIN
13.76943,285.60596,0.96601,TARSOS_YIN
13.79265,275.50949,0.97752,TARSOS_YIN
13.81587,268.1687,0.9894,TARSOS_YIN
13.83909,264.06403,0.98994,TARSOS_YIN
13.86231,263.89868,0.98784,TARSOS_YIN
13.88553,265.3486,0.98878,TARSOS_YIN
13.90875,264.80856,0.9857,TARSOS_YIN
13.93197,266.08569,0.88662,TARSOS_YIN
14.07129,309.24094,0.91056,TARSOS_YIN
14.09451,301.41,0.9917,TARSOS_YIN
14.11773,299.26364,0.98931,TARSOS_YIN
14.14095,299.08319,0.98387,TARSOS_YIN
14.16417,298.37817,0.99008,TARSOS_YIN
14.18739,297.90997,0.98724,TARSOS_YIN
14.21061,295.42358,0.98707,TARSOS_YIN
14.23383,292.94812,0.95759,TARSOS_YIN
14.37315,342.39102,0.89431,TARSOS_YIN
14.39637,338.36456,0.99137,TARSOS_YIN
14.41959,333.25891,0.9865,TARSOS_YIN
14.44281,325.62274,0.98984,TARSOS_YIN
14.46603,325.23438,0.99107,TARSOS_YIN
14.48925,325.85318,0.99374,TARSOS_YIN
14.51247,325.62854,0.9936,TARSOS_YIN
14.53569,324.62521,0.99479,TARSOS_YIN
14.55891,323.98224,0.99463,TARSOS_YIN
14.58213,323.29919,0.99266,TARSOS_YIN
14.60535,324.8779,0.98761,TARSOS_YIN
14.62857,327.61032,0.92426,TARSOS_YIN
14.65179,336.65427,0.99357,TARSOS_YIN
14.67501,340.38263,0.99793,TARSOS_YIN
14.69823,337.06195,0.98986,TARSOS_YIN
14.72145,324.75531,0.86443,TARSOS_YIN
15.06975,346.8269,0.91457,TARSOS_YIN
15.09297,343.24091,0.92575,TARSOS_YIN
15.11619,336.17709,0.98516,TARSOS_YIN
15.13941,338.21005,0.98692,TARSOS_YIN
15.16263,337.98633,0.98485,TARSOS_YIN
15.18585,338.3851,0.98997,TARSOS_YIN
15.20907,336.35071,0.98976,TARSOS_YIN
15.23229,332.50568,0.97499,TARSOS_YIN
15.39483,271.05045,0.90373,TARSOS_YIN
15.41805,261.61331,0.92651,TARSOS_YIN
15.44127,259.87631,0.87956,TARSOS_YIN
15.46449,262.05432,0.96927,TARSOS_YIN
15.48771,268.03351,0.991,TARSOS_YIN
15.51093,270.98123,0.99822,TARSOS_YIN
15.53415,271.20395,0.9987,TARSOS_YIN
15.55737,273.07755,0.99771,TARSOS_YIN
15.58059,272.11566,0.99836,TARSOS_YIN
15.60381,271.38791,0.99702,TARSOS_YIN
15.62703,271.02313,0.97703,TARSOS_YIN
15.74313,281.37158,0.88021,TARSOS_YIN
15.76635,268.25793,0.99253,TARSOS_YIN
15.78957,263.27805,0.92178,TARSOS_YIN
15.81279,259.50726,0.92731,TARSOS_YIN
15.90567,274.60333,0.98312,TARSOS_YIN
15.92889,270.16739,0.9929,TARSOS_YIN
15.95211,269.1846,0.9923,TARSOS_YIN
15.97533,269.19577,0.98904,TARSOS_YIN
15.99855,269.4491,0.99384,TARSOS_YIN
16.02177,268.67441,0.99124,TARSOS_YIN
